Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1773081062.6412683	1773081074.118064	11.476795673370361	0.0
2	1773081074.142727	1773081095.454452	21.31172513961792	0.02466297149658203
3	1773081095.4784992	1773081116.4865723	21.008073091506958	0.024047136306762695
4	1773081116.5102036	1773081128.8199508	12.309747219085693	0.02363133430480957
5	1773081128.8453743	1773081150.0661747	21.220800399780273	0.025423526763916016
6	1773081150.0906637	1773081160.8599467	10.769283056259155	0.02448892593383789
7	1773081160.8857596	1773081214.7938719	53.90811228752136	0.025812864303588867
8	1773081214.8200312	1773081235.926712	21.106680870056152	0.026159286499023438
9	1773081240.1825075	1773081251.7333114	11.550803899765015	4.255795478820801
10	1773081251.7604933	1773081273.07229	21.31179666519165	0.02718186378479004
