Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q1,1773081839.149235,401177,0,1
2,Q2,1773081839.612312,33491,0,1
3,Q3,1773081839.730777,58084,0,1
4,Q4,1773081839.805824,15942,0,1
5,Q5,1773081839.858226,33755,0,1
6,Q6,1773081839.943646,67473,0,1
7,Q7,1773081840.086142,67084,0,1
8,Q8,1773081840.250857,111178,0,1
9,Q9,1773081840.498725,128020,0,1
10,Q10,1773081840.669740,41919,0,1
11,Q11,1773081840.718991,7379,0,1
12,Q12,1773081840.785289,41902,0,1
13,Q13,1773081840.901642,79513,0,1
14,Q14,1773081840.995108,14468,0,1
15,Q15,1773081841.052069,38955,0,1
16,Q16,1773081841.137845,44548,0,1
17,Q17,1773081841.260878,68251,0,1
18,Q18,1773081841.516208,217038,0,1
19,Q19,1773081841.739792,5680,0,1
20,Q20,1773081841.768292,18799,0,1
21,Q21,1773081841.834470,52154,0,1
22,Q22,1773081841.899885,12012,0,1
